#TYPE System.Management.Automation.PSCustomObject
"Name","Group"
"Pmulcare","UK-SG TAX_OPI_ Restricted_Email"
"Pmulcare","UK-DL 15CSQ Office All"
"Pmulcare","UK-DL Interwoven OPI Training"
"Pmulcare","UK-DL Powerdown Notice - London"
"Pmulcare","UK-DL Powerdown Notice - Scotland"
"Pmulcare","UK-DL TTG All"
"Pmulcare","UK-SG PRMBus_alldata"
"Pmulcare","UK-SG SDS TrusTax v15.10.0.10"
"Pmulcare","UK-SG KPMG_OPI_TAX_SHARES_ALL"
"Pmulcare","UK-DL Interwoven TTG"
"Pmulcare","UK-SG TRT_TEAM_WORKING"
"Pmulcare","UK-SG WIP_577"
"Pmulcare","UK-DL Service Failure UK"
"Pmulcare","UK-SG EDI_TTT_ALL"
"Pmulcare","UK-SG ADMIN_CONFIDENTIAL_TST PROJECTS GROUP"
"Pmulcare","UK-SG P_625_ADMIN_PRIVATE"
"Pmulcare","UK-SG CTESTools_738"
"Pmulcare","UK-SG APPS_PAYROLL"
"Pmulcare","UK-SG ADMIN_EIG_EIGDEV"
"Pmulcare","UK-SG ADMIN_TECHNOLOGY"
"Pmulcare","UK-DL KGS ONSHORE TEAM"
"Pmulcare","UK-SG EDI_ADMIN & WIP"
"Pmulcare","UK-DL Tax-Central Tax"
"Pmulcare","UK-SG PFS_ALL"
"Pmulcare","UK-SG OPIAPP_OPITRG"
"Pmulcare","UK-SG 439_ALL"
"Pmulcare","UK-SG KPMG Users"
"Pmulcare","UK-SG KM Users"
"Pmulcare","UK-DL Digita Superusers"
"Pmulcare","UK-DL AMDOCS Users"
"Pmulcare","UK-DL Tax Technology Group (All)"
"Pmulcare","UK-SG CTESTools_USERS_045"
"Pmulcare","UK-DL TTG 15CSQ"
"Pmulcare","UK-SG CIM_SSQ_ALL"
"Pmulcare","UK-SG TAX_PUD_ALL"
"Pmulcare","External_RWD"
"Pmulcare","UK-SG CTESTools_USERS_003"
"Pmulcare","UK-SG UKWATWTS19 Users"
"Pmulcare","UK-SG TAX_H_Puddle Dock_MAP"
"Pmulcare","UK-SG CTESTools_USERS_700"
"Pmulcare","UK-SG FAS_TRT_BOS_USER"
"Pmulcare","UK-SG CTESTools_422"
"Pmulcare","UK-SG TRT_MAP"
"Pmulcare","UK-SG 621_ALL"
"Pmulcare","UK-DL African and Caribbean Network"
"Pmulcare","UK-SG FAS_TRT_ALL"
"Pmulcare","uk-sg tax knowledge"
"Pmulcare","UK-SG SMS OtherTaxAll"
"Pmulcare","UK-SG ST&DS_ALL"
"Pmulcare","UK-SG PUD_ST&DS_BOS_USER"
"Pmulcare","UK-SG CWH_FS_ALL"
"Pmulcare","UK-SG SMS Personal Tax Users"
"Pmulcare","UK-SG SMS TaxAll"
"jcorbett2","UK-SG AAD EXO Journaling"
"jcorbett2","UK-DL Mobile Device Upgrade 3"
"jcorbett2","UK-DL S&D Infrastructure"
"jcorbett2","UK-SG SCCM WorkSite Macro Update Users"
"jcorbett2","UK-SG SCCM Cisco IP Communicator removal Users"
"jcorbett2","GO-SG MC Delivery Backbone Users Regional EMA"
"jcorbett2","UK-SG SCCM Cisco Anyconnect Users Fix"
